month_of_action_date,career,score_reason,additional_comment,cleaned_text
2024-11-01,tutor,Variety of Materials,"It's always a delight to use your resources, unfortunately I'm not well off enough to afford it for now.",its always a delight to use your resources unfortunately im not well off enough to afford it for now
2024-11-01,US Kindergarten,Variety of Materials,I didn't have enough time to look at everything you have. It would probably be better for me to join before the school year starts to have more time to look at everything. I may come back when I have more time to invest.,i didnt have enough time to look at everything you have it would probably be better for me to join before the school year starts to have more time to look at everything i may come back when i have more time to invest
2024-11-01,US Pre K,Variety of Materials,"As soon as I have the income to keep it completely, I will be back. This site is great and really helped my daughter",as soon as i have the income to keep it completely i will be back this site is great and really helped my daughter
2024-11-01,US Grade 3,Variety of Materials,Excellent site! If I would use it more often then I would keep my subscription. I am a maker studio teacher and have a very limited scope of need.,excellent site if i would use it more often then i would keep my subscription i am a maker studio teacher and have a very limited scope of need
2024-11-01,ks1,Variety of Materials,My parish provides us with workbooks and bibles for children. I originally found you to fill the time between class start date and receipt of provided materials. I have told my teacher friends because I think your offerings are creative and abundant.,my parish provides us with workbooks and bibles for children i originally found you to fill the time between class start date and receipt of provided materials i have told my teacher friends because i think your offerings are creative and abundant
2024-11-01,US Grade 1,Variety of Materials,I am 9-12 teacher now and I just don't use the resources like I did with the elementary/middle school students.,i am 912 teacher now and i just dont use the resources like i did with the elementarymiddle school students
2024-11-01,sen,Price,I am planning on retiring at the end of this year. I also switched banks and am having issues trying to switch that.,i am planning on retiring at the end of this year i also switched banks and am having issues trying to switch that
2024-11-01,US Grade 4,Price,New position working with at risk older students and material is provided so I don't need your awesome material. I love all you have here!,new position working with at risk older students and material is provided so i dont need your awesome material i love all you have here
2024-11-01,US Pre K,Price,"I have another account, I accidentally signed up twice and have been getting double billed... which I can't afford.",i have another account i accidentally signed up twice and have been getting double billed which i cant afford
2024-11-01,US Grade 5,Resource Quality,"I got this last year for an assignment that my son needed some photos for a tri board for. I've kept it each month because I knew as soon as I had time I could come and choose a bunch of lesson plans for him. I've come today and found the website to be difficult. Out of the five lessons I looked at, 3 would not download, and the others didn't actually teach the lesson they were categorized under... but just asked questions that a child wouldn't know without the lesson. I'm extremely disappointed and can't believe how much I've spent to literally not even have one lesson for him to do.",i got this last year for an assignment that my son needed some photos for a tri board for ive kept it each month because i knew as soon as i had time i could come and choose a bunch of lesson plans for him ive come today and found the website to be difficult out of the five lessons i looked at 3 would not download and the others didnt actually teach the lesson they were categorized under but just asked questions that a child wouldnt know without the lesson im extremely disappointed and cant believe how much ive spent to literally not even have one lesson for him to do
2024-11-01,sen,Resource Quality,I have tried to cancel this for months now and you continue to charge me. I haven’t used a resource and I would like a full refund!,i have tried to cancel this for months now and you continue to charge me i haven’t used a resource and i would like a full refund
2024-11-01,sen,Resource Quality,I was not able to download PDFs and have tried numerous things to open them and they won't open so I dont want to pay for a subscription if I am unable to use it.,i was not able to download pdfs and have tried numerous things to open them and they wont open so i dont want to pay for a subscription if i am unable to use it
2024-11-01,US Grade 5,Resource Quality,I thought I had cancelled before and am pissed that it still went through. Hopefully I am now unsubscribed. thank you,i thought i had cancelled before and am pissed that it still went through hopefully i am now unsubscribed thank you
2024-11-01,sen,Resource Quality,"I'm going to try Education.com
 Twinkl is okay, but the one thing I hate is the amount of blue ink that is wasted every time I print. I understand putting your name/logo, but I don't need a whole banner of blue on the bottom. It's distracting for students and wastes ink. There is too much ""decorative fluff"" on the pages which makes the actual content smaller.",im going to try educationcom twinkl is okay but the one thing i hate is the amount of blue ink that is wasted every time i print i understand putting your namelogo but i dont need a whole banner of blue on the bottom its distracting for students and wastes ink there is too much decorative fluff on the pages which makes the actual content smaller
2024-11-01,US Grade 3,Resource Quality,The quality of the content was hit or miss and there is lots of heavily Christian content that is promoted as secular educational materials,the quality of the content was hit or miss and there is lots of heavily christian content that is promoted as secular educational materials
2024-11-01,Other,Resource Quality,"I may be back the next time I am looking for a specific resource. I don't like the monthly subscription piece, though.",i may be back the next time i am looking for a specific resource i dont like the monthly subscription piece though
2024-11-01,US Grade 3,Resource Quality,"Twinkl has great resources. My position changed to intervention, and I don't need any new resources.",twinkl has great resources my position changed to intervention and i dont need any new resources
2024-11-01,US Grade 1,Price,My school won't pay for it and I don't want to pay for it out of my own pocket right now. Thank you for allowing me to view the materials.,my school wont pay for it and i dont want to pay for it out of my own pocket right now thank you for allowing me to view the materials
2024-11-01,US Pre K,Price,You provide a wealth of information. There is so much that I have no need for. Have you ever thought of a mini subscription to just one age group?,you provide a wealth of information there is so much that i have no need for have you ever thought of a mini subscription to just one age group
2024-11-01,ey,Price,Im a stay at home mom just trying to teach a child in my care and i can find pages for free. Since i dont have enough to pay subscription,im a stay at home mom just trying to teach a child in my care and i can find pages for free since i dont have enough to pay subscription
2024-11-01,US Pre K,Variety of Materials,I am looking for everything thing. Unique things and this website jus has a hand full of things and it’s all the same.,i am looking for everything thing unique things and this website jus has a hand full of things and it’s all the same
2024-11-01,US Grade 6,Variety of Materials,Different math related topics that I can use without alot of recreation on my part. I have ended up creating my own PowerPoints anyway.,different math related topics that i can use without alot of recreation on my part i have ended up creating my own powerpoints anyway
2024-11-01,US Grade 2,Variety of Materials,Please refund the payment you collected though I had seven more days BEFORE the subscription was due for renewal. Thank you.,please refund the payment you collected though i had seven more days before the subscription was due for renewal thank you
2024-11-01,US Grade 3,Variety of Materials,This is ridiculous how difficult it was to cancel. I will be very hesitant now to consider returning.,this is ridiculous how difficult it was to cancel i will be very hesitant now to consider returning
2024-11-01,US Grade 2,Variety of Materials,"Switched jobs, no longer have access to the email associated with this account. If I open a new account, I would use a different email.",switched jobs no longer have access to the email associated with this account if i open a new account i would use a different email
2024-11-01,US Grade 4,Variety of Materials,I am having some financial issues and need to cancel all extra subscriptions. I hope to reactivate when I am in better financial shape.,i am having some financial issues and need to cancel all extra subscriptions i hope to reactivate when i am in better financial shape
2024-11-01,US Grade 3,Variety of Materials,Excellent for when I need things but I’m not a full time teacher anymore and just use it occasionally for my niece,excellent for when i need things but i’m not a full time teacher anymore and just use it occasionally for my niece
2024-11-01,librarian,Variety of Materials,I actually have an annual membership and I paid for it then I didn't realize it and so I am canceling this monthly one. I am going to try to connect this email but need to cancel this account first. The annual account is under sorensen.britt@gmail.com. Thank you!,i actually have an annual membership and i paid for it then i didnt realize it and so i am canceling this monthly one i am going to try to connect this email but need to cancel this account first the annual account is under sorensenbrittgmailcom thank you
2024-11-01,parent,Variety of Materials,I wish I had the resources to pay for this monthly but my paycheck has been reduced so I have to find all the ways to save money. Thank you,i wish i had the resources to pay for this monthly but my paycheck has been reduced so i have to find all the ways to save money thank you
2024-11-01,sen,Variety of Materials,This school year I am not teaching any math classes which is the majority of the materials I used from Twinkl. I love this site and I'm sure one day I'll be back.,this school year i am not teaching any math classes which is the majority of the materials i used from twinkl i love this site and im sure one day ill be back
2024-11-01,US Pre K,Variety of Materials,"Education has gotten so political and as an older, seasoned teacher, I felt the need to change careers at 54. Thanks for the materials.",education has gotten so political and as an older seasoned teacher i felt the need to change careers at 54 thanks for the materials
2024-11-01,parent,Variety of Materials,I think I may have two different memberships going and not sure. Canceling until I can figure it out.,i think i may have two different memberships going and not sure canceling until i can figure it out
2024-11-01,sen,Variety of Materials,"I'm switching grade levels/ paths....plan to come back after I settle, but don't know when that will be.",im switching grade levels pathsplan to come back after i settle but dont know when that will be
2024-11-01,US Grade 6,Customer Service,"You advertise that I can cancel anytime, but it required many steps and temptations. Not a site I would recommend to friends.",you advertise that i can cancel anytime but it required many steps and temptations not a site i would recommend to friends
2024-11-01,US Grade 1,Ease of Website,I don't like how the downloads are hard to access and how difficult it is to edit the editable downloads. The amount of steps to access downloads even after extracted is ridiculous.,i dont like how the downloads are hard to access and how difficult it is to edit the editable downloads the amount of steps to access downloads even after extracted is ridiculous
2024-11-01,US Grade 8,Ease of Website,I find it difficult to find the pages I want to print. downloads difficult to determine exactly what worksheets they are unless I only download 1 at a time which is not time effective,i find it difficult to find the pages i want to print downloads difficult to determine exactly what worksheets they are unless i only download 1 at a time which is not time effective
2024-11-01,US Grade 4,Ease of Website,"Teachers Pay Teachers and Super Teachers Worksheets, both are easier to find specific grade level topics more quickly.",teachers pay teachers and super teachers worksheets both are easier to find specific grade level topics more quickly
2024-11-01,ks5,Resource Quality,"twinkl was a lifesaver when I was teaching younger children, but when I made the move to upper grades, the curriculum had less wiggle room and I wasn't able to find as many things that were as applicable. I'd still recommend twinkl to those teaching early childhood.",twinkl was a lifesaver when i was teaching younger children but when i made the move to upper grades the curriculum had less wiggle room and i wasnt able to find as many things that were as applicable id still recommend twinkl to those teaching early childhood
2024-11-01,parent,Customer Service,I hate when this kid of companies using wrong marketing by charging people without their consent. You are stealing our money and that’s what kept me away from you,i hate when this kid of companies using wrong marketing by charging people without their consent you are stealing our money and that’s what kept me away from you
2024-11-01,US Grade 1,Customer Service,cancelled and still charging me. rip off website my credit card will be getting my money back. scam website.,cancelled and still charging me rip off website my credit card will be getting my money back scam website
2024-11-01,US Grade 2,Customer Service,I cancelled last month October and still got charged in November. Worst experience. Don’t recommend to any teachers. I contacted customer service and never got a reply.,i cancelled last month october and still got charged in november worst experience don’t recommend to any teachers i contacted customer service and never got a reply
2024-11-01,US Grade 2,Customer Service,Extremely unhappy about the deceptive way you need to hit a cancellation option 3x before actually ending the membership. I tried canceling the previous month and thought I had canceled until I saw the charge in my bank account.,extremely unhappy about the deceptive way you need to hit a cancellation option 3x before actually ending the membership i tried canceling the previous month and thought i had canceled until i saw the charge in my bank account
2024-11-01,US Pre K,Customer Service,I already cancelled and have cancellation emails! I complained and asked for a refund and the next email was indicating i renewed the account!!!!! and you planned to charge me again! I will be putting in a horrible review of your services!,i already cancelled and have cancellation emails i complained and asked for a refund and the next email was indicating i renewed the account and you planned to charge me again i will be putting in a horrible review of your services
2024-11-01,ey,Customer Service,I had asked 3 times to cancel and continue to be charged. I want to cancel and work like a refund for the last 3 months I’ve been charged,i had asked 3 times to cancel and continue to be charged i want to cancel and work like a refund for the last 3 months i’ve been charged
2024-11-01,US Grade 4,Customer Service,"I did not want this membership, I think I accepted a trial and the membership continued for 4 months from there. I would like a full refund please.",i did not want this membership i think i accepted a trial and the membership continued for 4 months from there i would like a full refund please
2024-11-01,ey,Ease of Website,"Please don't make it so difficult to actually cancel my membership because I thought I had already officially cancelled it several months ago but I guess it never went through due to your unhelpful un-userfriendliness. I do like that you have materials in Zulu though, very diverse and inclusive.",please dont make it so difficult to actually cancel my membership because i thought i had already officially cancelled it several months ago but i guess it never went through due to your unhelpful unuserfriendliness i do like that you have materials in zulu though very diverse and inclusive
2024-11-01,ks5,Ease of Website,I hate it when you intentionally make it difficult to unsubsubscribe. I would have paused my membership but just looking at the hostile UI that made me click through 3 different options settled my decision to cancel permanently.,i hate it when you intentionally make it difficult to unsubsubscribe i would have paused my membership but just looking at the hostile ui that made me click through 3 different options settled my decision to cancel permanently
2024-11-01,parent,Ease of Website,The creating membership was extremely confusing and I ended up signing up for 2 accounts thinking it hadn’t worked and got charged twice.,the creating membership was extremely confusing and i ended up signing up for 2 accounts thinking it hadn’t worked and got charged twice
2024-11-01,US Grade 5,Ease of Website,"I thought that I had cancelled this subscription two months ago…you make it very hard to cancel a subscription which cost me extra money. I am taking a screen shot of this form, and if I am charged again next month, I will report you to the BBB and any other agency that would be appropriate.",i thought that i had cancelled this subscription two months ago…you make it very hard to cancel a subscription which cost me extra money i am taking a screen shot of this form and if i am charged again next month i will report you to the bbb and any other agency that would be appropriate
2024-11-01,US Grade 6,Ease of Website,Overall it's decent and I might come back. I homeschool my son. Kind of hard to find what I need on the website.,overall its decent and i might come back i homeschool my son kind of hard to find what i need on the website
2024-11-01,US Kindergarten,Ease of Website,"I was tutoring my grandchildren who had fallen behind academically during Covid they are doing well in school now and their mom has a membership she now uses with her kids
 thanks for your help",i was tutoring my grandchildren who had fallen behind academically during covid they are doing well in school now and their mom has a membership she now uses with her kids thanks for your help
2024-11-01,US Grade 6,Ease of Website,Loved this but school is providing this website for students so thats why canceling personal account.,loved this but school is providing this website for students so thats why canceling personal account
2024-11-01,US Grade 3,Price,I had no idea I was still subscribed and I am HORRIFIED I have been paying this subscription for SO MANY MONTHS. I want a refund since I have not used it since signing up LAST YEAR.,i had no idea i was still subscribed and i am horrified i have been paying this subscription for so many months i want a refund since i have not used it since signing up last year
2024-11-01,esl,Price,"I never wanted this membership, I I thought I had cancelled it. the cancelling process is long and confusing. I was charged and I am very unhappy with that.",i never wanted this membership i i thought i had cancelled it the cancelling process is long and confusing i was charged and i am very unhappy with that
2024-11-01,home ed,Price,I cancelled my membership like years ago and somehow I'm paying 10$ a month. I know it was cancelled. How long does this go back?!,i cancelled my membership like years ago and somehow im paying 10 a month i know it was cancelled how long does this go back
2024-11-01,parent,Price,"I cancelled this membership last month, but was billed again this month. I just cancelled again, but I will be disputing the charge with PayPal. You make it difficult to cancel, and your multiple ""Are you sure"" screens and the the requirement to confirm ""cancel anyway"" on more than one screen are misleading. I'll warn other teachers away from doing business with you.",i cancelled this membership last month but was billed again this month i just cancelled again but i will be disputing the charge with paypal you make it difficult to cancel and your multiple are you sure screens and the the requirement to confirm cancel anyway on more than one screen are misleading ill warn other teachers away from doing business with you
2024-11-01,US Grade 4,Price,I didn’t realize that I was paying a monthly fee for over year now. My husband just asked what this subscription was…I just wish I would have know that I had a membership. That was a lot of money wasted.,i didn’t realize that i was paying a monthly fee for over year now my husband just asked what this subscription was…i just wish i would have know that i had a membership that was a lot of money wasted
2024-11-01,US Pre K,Price,I do not recall signing up for this membership. I just noticed that I was have been being billed and never used it.,i do not recall signing up for this membership i just noticed that i was have been being billed and never used it
2024-11-01,US Kindergarten,Price,i forgot to cancel this before it renewed. I dont use this enough as I am not a teacher. I would like a refund. I dont have that kind of money to spend.,i forgot to cancel this before it renewed i dont use this enough as i am not a teacher i would like a refund i dont have that kind of money to spend
2024-11-01,US Kindergarten,Price,I did not mean to sign up for this. I couldn't even use the free services. I would like my $9.00 refunded.,i did not mean to sign up for this i couldnt even use the free services i would like my 900 refunded
2024-11-01,US Grade 7,Price,Wish I had cancelled this early. Unfortunately it's not a resource I can afford nor use. I didn't get back to you to cancel in time of the 1 year renewal.,wish i had cancelled this early unfortunately its not a resource i can afford nor use i didnt get back to you to cancel in time of the 1 year renewal
2024-11-01,US Grade 4,Price,I tried to cancel before it auto-renewed and it did not cancel. I am frustrated that it did not work and still charged me.,i tried to cancel before it autorenewed and it did not cancel i am frustrated that it did not work and still charged me
2024-11-01,sen,Price,I did not even know I was subscribed to this website. I have been making payments without my knowledge. And the cancelation process was ridiculous. I had to scroll all the way to the bottom of my screen to press “cancel” at least 3 times. The process felt dishonest,i did not even know i was subscribed to this website i have been making payments without my knowledge and the cancelation process was ridiculous i had to scroll all the way to the bottom of my screen to press “cancel” at least 3 times the process felt dishonest
2024-11-01,US Grade 3,Price,I am no longer teaching in person - just online and can't use this - although I just paid for a year last week without realizing it until I saw it on my credit card.,i am no longer teaching in person just online and cant use this although i just paid for a year last week without realizing it until i saw it on my credit card
2024-11-01,US Grade 3,Price,I had two accounts for over 3 months. I didnt realize i had another account under my personal email dustygail @ gmail.com,i had two accounts for over 3 months i didnt realize i had another account under my personal email dustygail gmailcom
2024-11-01,sen,Price,Make the cancellation process better. I cancelled back in August I was under the impression that my subscription would in fact be cancelled only to find out that it wasn't. I have been charged for the past 3 months. I had to go through the cancellation process 3 times before it brought me to the current page.,make the cancellation process better i cancelled back in august i was under the impression that my subscription would in fact be cancelled only to find out that it wasnt i have been charged for the past 3 months i had to go through the cancellation process 3 times before it brought me to the current page
2024-11-01,US Grade 1,Price,"You did not inform me payment was coming up, there was a bundle package with it, and that there was a price increase. Caught my bills off guard.",you did not inform me payment was coming up there was a bundle package with it and that there was a price increase caught my bills off guard
2024-11-01,ks1,Price,It is great and I look forward to trying it again in the future but I currently do not have the money for it.,it is great and i look forward to trying it again in the future but i currently do not have the money for it
2024-11-01,sen,Price,"I was unaware I was being billed. My mistake, however I have not found this websight very useful. Seems like a waste of alot of money.",i was unaware i was being billed my mistake however i have not found this websight very useful seems like a waste of alot of money
2024-11-01,US Grade 3,Resource Quality,I thought I canceled this after the free trial. I have been out of work since last December with stage 4 cancer . I reached out several times and no one contacted me,i thought i canceled this after the free trial i have been out of work since last december with stage 4 cancer i reached out several times and no one contacted me
2024-11-01,sen,Resource Quality,I was in 4th-6th grade but moved to Pre-K and i find the pre-k is not as engaging or as much available for those ages. Plus I wish you could print directly from the website without having to down load it first.,i was in 4th6th grade but moved to prek and i find the prek is not as engaging or as much available for those ages plus i wish you could print directly from the website without having to down load it first
2024-11-01,US Grade 4,Variety of Materials,My kids are in specialty schools and I don't use the services enough and they are getting to middle school grade and don't really do the stuff from here.,my kids are in specialty schools and i dont use the services enough and they are getting to middle school grade and dont really do the stuff from here
2024-11-01,slt,Ease of Website,"I really enjoy Twinkl. However I think you should mention more of the extras that you showed during my cancellation. I didn't realize Twinkl had ALL of the extra stuff to offer. At this time I do not use my membership enough and need to spend my resources elsewhere, but will keep Twinkl in mind for the future.",i really enjoy twinkl however i think you should mention more of the extras that you showed during my cancellation i didnt realize twinkl had all of the extra stuff to offer at this time i do not use my membership enough and need to spend my resources elsewhere but will keep twinkl in mind for the future
2024-11-01,US Pre K,Price,I actually used it so infrequently that I forgot I had the membership. I am no longer working in the schools.,i actually used it so infrequently that i forgot i had the membership i am no longer working in the schools
2024-11-01,sen,Price,I loved the resources and used them a lot with my students. It's just that the price is high for me and I can't afford it. Thank you for creating such good material.,i loved the resources and used them a lot with my students its just that the price is high for me and i cant afford it thank you for creating such good material
2024-12-01,US Grade 3,Price,I'm so sad to cancel this subscription. Perhaps I can get my school district on board with a subscription K-4 next year.,im so sad to cancel this subscription perhaps i can get my school district on board with a subscription k4 next year
2024-12-01,US Grade 3,Price,I don’t use it enough to justify the cost but this was such an amazing resource and I wish more people knew about it,i don’t use it enough to justify the cost but this was such an amazing resource and i wish more people knew about it
2024-12-01,sen,Resource Quality,According to my bank account I have already been billed on November 27. I expect that my account will remain active until that time next year,according to my bank account i have already been billed on november 27 i expect that my account will remain active until that time next year
2024-12-01,adult educator,Variety of Materials,"Please add more resources formatted for mobile devices. My students are all remote and most do not have a desktop or laptop, but join class via smartphone therefore all of your content must be re-formatted (less content per page, large fonts, etc) so it can be legible for students using a hand-held device.",please add more resources formatted for mobile devices my students are all remote and most do not have a desktop or laptop but join class via smartphone therefore all of your content must be reformatted less content per page large fonts etc so it can be legible for students using a handheld device
2024-12-01,esl,Variety of Materials,Twinkl is a wonderful and affordable resource! I will definitely resubscribe if I go back to teaching!,twinkl is a wonderful and affordable resource i will definitely resubscribe if i go back to teaching
2024-12-01,ey,Variety of Materials,I was unexpectedly released from my position at the beginning of September and didn't realize I was still subscribed to this service. I am unemployed and cannot afford to keep it until I find a new job.,i was unexpectedly released from my position at the beginning of september and didnt realize i was still subscribed to this service i am unemployed and cannot afford to keep it until i find a new job
2024-12-01,US Grade 1,Ease of Website,The materials are not compatible with Google Suite and the downloads are automatically opened with Word instead of Google.,the materials are not compatible with google suite and the downloads are automatically opened with word instead of google
2024-12-01,US Grade 1,Ease of Website,"Not very easy to find product and just print. Would subscribe if it was easier to search, find and print.",not very easy to find product and just print would subscribe if it was easier to search find and print
2024-12-01,Other,Price,Your process for cancelling requires too many steps. It is an extremely predatory practice. You should be ashamed of yourselves.,your process for cancelling requires too many steps it is an extremely predatory practice you should be ashamed of yourselves
2024-12-01,US Grade 5,Price,It was supposed to be free and then you attempted to charge my bank account which I never gave my bank information.,it was supposed to be free and then you attempted to charge my bank account which i never gave my bank information
2024-12-01,US Pre K,Resource Quality,"Twinkl is a lovely resource, but unfortunately I do not currently have the need due to a change in circumstance.",twinkl is a lovely resource but unfortunately i do not currently have the need due to a change in circumstance
2024-12-01,US Grade 3,Resource Quality,Twinkl can be very hard to navigate and find the resources you want in a logical way. Better organization would truly make it a stellar website.,twinkl can be very hard to navigate and find the resources you want in a logical way better organization would truly make it a stellar website
2024-12-01,US Kindergarten,Resource Quality,"while I appreciated the volume of creative options you provided, the lead teacher seems to have her own resources for activities",while i appreciated the volume of creative options you provided the lead teacher seems to have her own resources for activities
2024-12-01,ks4,Variety of Materials,I teach high school chemistry and the resources I find won't open once downloaded or they are not what I'm looking for on the 10-12 level.,i teach high school chemistry and the resources i find wont open once downloaded or they are not what im looking for on the 1012 level
2024-12-01,US Grade 6,Price,Don't make it a scavenger hunt to cancel membership. I hate when companies make it difficult to find the cancel membership button.,dont make it a scavenger hunt to cancel membership i hate when companies make it difficult to find the cancel membership button
2024-12-01,US Pre K,Price,I have tried to cancel before and I am frustrated that it didn’t work. Am I eligible for a refund? Emily Volz,i have tried to cancel before and i am frustrated that it didn’t work am i eligible for a refund emily volz
2024-12-01,sen,Price,I never wanted the membership. I created a membership to see what Twinkl was and then got added without my permission.,i never wanted the membership i created a membership to see what twinkl was and then got added without my permission
2024-12-01,US Pre K,Price,"I'm so sorry, but I thought I had signed up for a FREE account so that I could access just one resource. I am an educational consultant, not a classroom teacher. The drop downs do not reflect my opinion of your product, but options were limited.",im so sorry but i thought i had signed up for a free account so that i could access just one resource i am an educational consultant not a classroom teacher the drop downs do not reflect my opinion of your product but options were limited
2024-12-01,US Grade 2,Price,I thought I already clicked through canceling and was surprised to get a bill this month. Disappointed in this kind of behavior as it is very gotcha-like behavior just to take advantage of users.,i thought i already clicked through canceling and was surprised to get a bill this month disappointed in this kind of behavior as it is very gotchalike behavior just to take advantage of users
2024-12-01,ks5,Variety of Materials,"I teach secondary, this is geared to elementary. We’ve found some great stuff that I can partially utilise for my art classes but I’m forced to increase the information or difficulty to make the standards or be something 9-12th graders can’t do in 5 minutes.",i teach secondary this is geared to elementary we’ve found some great stuff that i can partially utilise for my art classes but i’m forced to increase the information or difficulty to make the standards or be something 912th graders can’t do in 5 minutes
2024-12-01,US Grade 3,Resource Quality,"I was looking for more basic Addition & subtraction worksheets. Working with 2 & 3 digit problems, as well as others that may be helpful. I feel like this material doesn’t teach my child it’s more of a summer school activity so that he doesn’t forget.",i was looking for more basic addition subtraction worksheets working with 2 3 digit problems as well as others that may be helpful i feel like this material doesn’t teach my child it’s more of a summer school activity so that he doesn’t forget
2024-12-01,ey,Price,I cancelled my membership 2 months ago so why am I being charged. Your company is just taking money when people are struggling,i cancelled my membership 2 months ago so why am i being charged your company is just taking money when people are struggling
2024-12-01,ks4,Price,I am currently out of work and need all of my resources to cover my living expenses. I have not used this service in a couple of months and would like a refund for the months of November and December.,i am currently out of work and need all of my resources to cover my living expenses i have not used this service in a couple of months and would like a refund for the months of november and december
2024-12-01,US Grade 1,Price,I did not realized I signed up for this and have lost money I had no idea i was being charged for. Refund of all fees would be great! i have never used this service!,i did not realized i signed up for this and have lost money i had no idea i was being charged for refund of all fees would be great i have never used this service
2024-12-01,ks4,Price,I didn’t even know I was subscribed to this. I’ve been charged since September and I’ve never used this.,i didn’t even know i was subscribed to this i’ve been charged since september and i’ve never used this
2024-12-01,US Grade 1,Price,"I have tried cancelling this 3 times. I'm not sure what is happening, but, I CANNOT afford for this to still be coming out of my account. I shouldn't have to weed through 3 or 4 different cancellation windows. Seems shady.",i have tried cancelling this 3 times im not sure what is happening but i cannot afford for this to still be coming out of my account i shouldnt have to weed through 3 or 4 different cancellation windows seems shady
2024-12-01,US Grade 4,Price,"Your subscription service is so scammy and you make people click through a ridiculous amount of 'Cancel' buttons to quit.
 
 I will be actively recommending against Twinkl to anybody that asks me about it.",your subscription service is so scammy and you make people click through a ridiculous amount of cancel buttons to quit i will be actively recommending against twinkl to anybody that asks me about it
2024-12-01,US Grade 3,Price,I cancelled this before the December charge date and it still charged me for December and now I have a $32 overdraft fee on top of it because I had cancelled the subscription and therefore did not include it in my budget.,i cancelled this before the december charge date and it still charged me for december and now i have a 32 overdraft fee on top of it because i had cancelled the subscription and therefore did not include it in my budget
2024-12-01,sen,Price,I cancelled this 2 months ago and continue to be charged. This is ridiculous. Please refund the last 2 months.,i cancelled this 2 months ago and continue to be charged this is ridiculous please refund the last 2 months
2024-12-01,Other,Price,"I work for a job coaching service. We used some of these for our skill building but I otherwise cannot say I have much here i can use further. I appreciate the supplies present and see how they are very helpful, but they cannot help me further with my own work.",i work for a job coaching service we used some of these for our skill building but i otherwise cannot say i have much here i can use further i appreciate the supplies present and see how they are very helpful but they cannot help me further with my own work
2024-12-01,parent,Price,"I wasn’t using this resource, so at the moment I don’t want to keep paying for a subscription I’m not using.",i wasn’t using this resource so at the moment i don’t want to keep paying for a subscription i’m not using
2024-12-01,US Pre K,Price,"This is the only resource I can find for Australian themed materials. I am an Aussie living in the States and so I'd like to have my classroom with an Aussie feel however again I cannot find it anywhere else, so I love that you guys offer that. Ask for now, I cannot afford it although the price is wonderful I will come back when the time allows.",this is the only resource i can find for australian themed materials i am an aussie living in the states and so id like to have my classroom with an aussie feel however again i cannot find it anywhere else so i love that you guys offer that ask for now i cannot afford it although the price is wonderful i will come back when the time allows
2024-12-01,ks4,Variety of Materials,I work with grades 5-12th grade and was struggling finding enough resources that meet my state's level of rigor.,i work with grades 512th grade and was struggling finding enough resources that meet my states level of rigor
2024-12-01,parent,Variety of Materials,I tried to cancel before but forgot my password when I found the right email i notice on my paypal account I was still being charge for the past three months I would like a refund of 27.00,i tried to cancel before but forgot my password when i found the right email i notice on my paypal account i was still being charge for the past three months i would like a refund of 2700
2024-12-01,US Grade 8,Price,"I won't need the membership for probably close to another year., so it doesn't make sense to pay for a year that I won't be using it.",i wont need the membership for probably close to another year so it doesnt make sense to pay for a year that i wont be using it
2024-12-01,US Grade 3,Resource Quality,I don't need the membership regularly but the few things I looked at about holidays were not hitting the spot/somewhat inaccurate,i dont need the membership regularly but the few things i looked at about holidays were not hitting the spotsomewhat inaccurate
2024-12-01,sen,Resource Quality,"Vocational resources for high school special Ed students. I just switched positions, if I’m able to use Twinkl resources I will come back.",vocational resources for high school special ed students i just switched positions if i’m able to use twinkl resources i will come back
2024-12-01,US Grade 3,Resource Quality,I needed access to some resources for a school assignment. Just a couple more years of college and then I will be back.,i needed access to some resources for a school assignment just a couple more years of college and then i will be back
2024-12-01,US Grade 6,Variety of Materials,"I don't have ppt on my computer. I am looking for Google Slides formats, and they are few and far between for Spanish materials on this site.",i dont have ppt on my computer i am looking for google slides formats and they are few and far between for spanish materials on this site
2024-12-01,US Grade 6,Resource Quality,"I understand the need to increase membership prices as you have added many resources. However, I only utilize math worksheet (and some science) so I wish the price was less or that there was an option for a cheaper membership. The price started at $50, which I found worth it, but now that it has almost doubled, I cannot justify the cost. Please reach out if there is anything that can be done. abussanich@paramusschools.org",i understand the need to increase membership prices as you have added many resources however i only utilize math worksheet and some science so i wish the price was less or that there was an option for a cheaper membership the price started at 50 which i found worth it but now that it has almost doubled i cannot justify the cost please reach out if there is anything that can be done abussanichparamusschoolsorg
2024-12-01,US Grade 7,Resource Quality,"I was using this resource for my International Students. This school year I only have USA students who need assistance with study for the private school entrance exam ISEE, SSAT, HSPT or SHSAT",i was using this resource for my international students this school year i only have usa students who need assistance with study for the private school entrance exam isee ssat hspt or shsat
2024-12-01,US Grade 4,Variety of Materials,My husband lost his job and I feel I don't use it enough to justify this expense. It's a great resource though and I may rejoin again in the future.,my husband lost his job and i feel i dont use it enough to justify this expense its a great resource though and i may rejoin again in the future
2024-12-01,US Pre K,Variety of Materials,"Thanks for the resources I did use. I am retiring and teaching 1/2 preschool and I have a plethora of resources to use now, including some of the resources I got from Twinkl.",thanks for the resources i did use i am retiring and teaching 12 preschool and i have a plethora of resources to use now including some of the resources i got from twinkl
