Month of Action Date,Career,Score Reason,Additional Comment
Aug-24,ks1,Ease of Website,I cannot find the resources that I need. This does not fit what I am looking for. Please cancel any and all memberships under my name.
Aug-24,US Grade 5,Ease of Website,"subject posters
handouts
It's just overwhelming. I search for something, then I get 50 packets with 5 things each and I haven't yet found anything useful. I'm sure it's there, it just takes hours to comb through."
Aug-24,ks4,Ease of Website,Career and Employability Skills resources for high school students and resources in the spanish language for new ELL students in that subject
Aug-24,US Grade 3,Variety of Materials,"A lot of things I looked for weren't available. I primarily teach non-denominational Bible study for 1st and 2nd graders and many materials were catholic in material. I also struggled to find specific things I wanted, like a map of plymouth colonies to fill in. Finally, as much as $90/year is a bargain, I don't think I'll use $90 worth of materials in the year. "
Aug-24,esl,Variety of Materials,"I wish that the website allowed me to preview materials before downloading them. If there's a way to do that, it wasn't intuitive. In any case, I need to cancel the membership regardless because I can't afford it right now."
Aug-24,US Kindergarten,Variety of Materials,would like to save my custom resources/saved resources on my account or suspend it. I return to work on Mid October but am strapped for cash so cannot pay now.
Aug-24,sen,Variety of Materials,"This was by far the best site for teaching. However, I have retired from the classroom and won't be needing it as much. "
Aug-24,home ed,Resource Quality,Resources are great. We are just experiencing a financial hardship and are cutting things we don't use on a regular bases
Aug-24,US Grade 2,Price,"I didn't know this account was active and that I was being charged monthly. I haven't used this account the entire time, and am really upset since I just discovered this. I haven't used this email in over 3 years. "
Aug-24,US Pre K,Price,I was asked about a planner and since the planner i was getting funds thing from me no thank you delete delete deleted
Aug-24,esl,Price,I know I tried to cancel this in June before the last day of school and thought I had.   I just saw on my cc bill that I had been charged two months.  I found it hard to navigate the website to cancel just now.
Aug-24,esl,Variety of Materials,"My school implemented a stricter curriculum that I must follow, do not have the time to incorporate outside resources."
Aug-24,ks5,Resource Quality,You do not make it easy to cancel.  I shouldn't have to go to the help page to do something as simple as cancelling your free trial.
Aug-24,US Grade 1,Resource Quality,"Most of the good resources are zip files that you have to download instead of just having access to worksheets that can be printed you have to download zip files for them with tons of sheets in them. I don’t want to download 
Zip files everyday just to get one or two worksheets and I don’t want to download zip files everyday to my computer or my phone."
Aug-24,US Kindergarten,Resource Quality,"The resources are very basic, not adequate for correctly educating a child to my standards. Basic information like the parts of a fish cannot be found yet there is tons of information on other things that don't matter. No proper information on what Christmas actually is, and the list goes on and on. Information is also very skewed and biased. "
Aug-24,parent,Resource Quality,"After downloading one of the social stories there was over 500 images that appeared in my recent album in my gallery, they were all from that download and were just random signs symbols and logos completely unrelated to the story. The website is also busy an confusing. There is way to much to concentrate on one item."
Aug-24,US Grade 8,Resource Quality,"Not enough resources for what I teach (digital art, photography, animation, graphic design), if the resources exist they are very hard to find."
Aug-24,adult educator,Variety of Materials,"I AM CANCELLING MY SUBSCRIPTION BECAUSE I AM USING ANOTHER ACCOUNT. I AM STILL USING THE SERVICE, THOUGHT. THANKS!!!"
Aug-24,sen,Variety of Materials,"I signed up for the free trial to gain access to materials, and I was unable to access those materials even after signing up. I was continually prompted to sign up for the annual membership to access materials that were advertised under the free trial. "
Aug-24,US Grade 2,Variety of Materials,I saw a resource on google from your site. I joined and searched for it and nothing comes up. What a bummer to think something was advertised but not actually available.
Aug-24,US Kindergarten,Variety of Materials,"Looking for English phonics game materials 
Plus interesting English class game that are lunached here "
Aug-24,US Grade 7,Variety of Materials,I’m moving from middle school math to high school math and it looks like your resources stop at 8th grade.
Aug-24,US Pre K,Variety of Materials,"After reading the copywriting policy, It is not what I'm looking for. I compose books, and your materials can't be used."
Aug-24,US Grade 8,Variety of Materials,"When our school can afford a membership, we will probably be back. Right now, we just don't have it. Thank you! "
Aug-24,ks2,Variety of Materials,"All about Mexico PPT says Mexico is in North America. Then, a reading about Cactus says it is in South America. "
Aug-24,US Grade 8,Variety of Materials,"Loved the site; however, I teach not only 8th grade but 12th grade... would love to see your site expand into the upper grades."
Aug-24,US Kindergarten,Price,Hace meses que pensaba que había dejado de pagar esta subscripción y que me había dado de baja y resulta que no
Aug-24,US Kindergarten,Price,I had no idea I had a monthly membership. I’m not sure what I did to activate it but I definitely do not want this membership.
Aug-24,Other,Price,"I'm a Girl Scout Leader & a 4H mom.  I really only need this stuff once a year, and it's just not worth paying for year round. "
Aug-24,ks4,Variety of Materials,I am no longer teaching the course I used this for. I tried to cancel in July and just realized you have still been billing me monthly
Aug-24,US Grade 4,Variety of Materials,I never realized I had a subscription.  I used this site only once to get something and then never again.  I’ve been trying to figure out what this twinkle payment was for and just noticed the email this morning.
Aug-24,US Kindergarten,Variety of Materials,All of the SEL crap.  I really do not think most people understand how horrible it is.  They think its just understanding emotions but its not!  Common core was bad enough. The collective dumbing down of our children. Can no longer be a part of it.   Sorry.  Was the last straw for me.
Aug-24,esl,Variety of Materials,"Switched to higher ed, and the resources are more geared toward K-12.  Twinkl was helpful during my time with that age group though!"
Aug-24,esl,Variety of Materials,My county/state doesn't allow the use of instructional materials outside the program we are using. I wouldn't be able to use any of your great materials.
Aug-24,US Grade 2,Variety of Materials,I lost my teaching job so I need to cancel my $9.00/month subscription.  Please cancel my account and stop taking my monthly payment.  Thank you!  I loved your website.
Aug-24,ks4,Variety of Materials,I purchased for use with grandkids and I am not using the membership like I thought I would. I also need to reduce a lot of my memberships.
Aug-24,US Grade 1,Variety of Materials,"What you guys provide is awesome, I was wondering if you have kind of a ""works cited"" on each activity. Who is making them and how reliable are some of the educational materials/actvities. "
Aug-24,ey,Variety of Materials,"You guys are amazing, and I will be back! I recommend you to everyone. I won't be able to work for a while, so I have to cut all my subscriptions until I am better. Thank you!"
Aug-24,US Grade 8,Customer Service,I already canceled and as I check I'm on the ultimate membership again????? Really??? Not cool. Bye Felicia
Aug-24,ey,Customer Service,I canceled with you guys a long time ago and you guys were still charging me! I would like reimbursement
Aug-24,US Grade 5,Customer Service,"I signed up for a trial membership.  It said I would be notified before I was charged.  I was not notified, but I was charted."
Aug-24,US Grade 5,Customer Service,you should never make the cancel button so hard to find. If I would have come back all chances are gone when you make that difficult. It shows you try to confuse or make things difficult on purpose for the customer. That is a trust break.
Aug-24,sen,Customer Service,"you should not automatically renew a membership just via a download, I already canceled my membership then was charged again"
Aug-24,US Kindergarten,Customer Service,"I tried canceling before, but you still automatically renewed a subscription I thought had been cancelled and continued to charge me for June, July and August!!  Not good!!  You make it very difficult to cancel."
Aug-24,adult educator,Customer Service,"I kept the subscription which only slightly meets my needs because of a few good items, and because I wanted the planner which was mentioned back in May. I still have not received one even though I've written several times about the planner. I was sent a cheap, plastic keychain. Poor customer service and expensive monthly fee for few items at the upper levels (8-12). I would have stayed a customer if I felt like my request was honored. I feel like you promised a carrot before summer to keep people hanging on, then didn't give what you promised. I've spend $27 this summer waiting for the planner and probably only downloaded a few items. Poor decision on my part. "
Aug-24,parent,Ease of Website,I never intended to subscribe in the first place. I would like a refund as I couldn't find how to cancel until I used the chat bot today. If I could have found it I would have cancelled long ago. Seriously unhappy and broke cause I haven't been able to work much this summer.
Aug-24,US Grade 6,Ease of Website,"I tried to cancel several months ago and thought I had, but noticed my card still being charged. Hopefully this time it cancels."
Aug-24,US Grade 3,Ease of Website,"It's like you're trying to hide where I can cancel my membership, which seems a little manipulative. Just let people cancel when they want to cancel."
Aug-24,ks3,Ease of Website,"I did not need it, but you made it so difficult to cancel my opinion of the overall quality changed. "
Aug-24,US Grade 6,Ease of Website,"It is really hard to search on your website. I want to look for resources in Spanish, and it is not user friendly, so I have to try to find tricks and workarounds."
Aug-24,US Pre K,Ease of Website,"I tried to cancel my membership on the date prior to it renewing, but the website told me it was too late to cancel. So now I have another month and there are literally no more resources I need, but I have been charged. Is the date time sensitive? I live in the EST time zone in the US."
Aug-24,US Pre K,Customer Service,"I have REPEATEDLY demanded that you end my subscription/membership...but you kept taking my money...I had to cancel my debit card ending in 4351  because your company refused to cancel me...I am on the verge of pursuing a lawsuit for harassment, or at least, blasting you all over social media for refusing to end my membership...END IT NOW!!!!!!!"
Aug-24,US Grade 4,Ease of Website,Your program keeps membership and makes it impossible to cancel therefore taking advantage of families
Aug-24,US Pre K,Ease of Website,I have found other resources right now that are free. I am trying to spend as little money as possible at this time.
Aug-24,US Grade 3,Price,"I was charged annual fee $98 twice from my bank account.  I forgot to stop free trial since I'm 70 years old and was helping my daughter who is a third grade teacher look for new material she could use in her class.  I forgot to cancel trial period but I know I would never choose an annual membership, monthly subscription only cause I'm on fixed income.
I used website once for free posters and I did get planner.  Could you please give me back the $196 that was taken from my bank account.  That amount has caused me problems paying my bills.  Thank you.  If I was a 30 yr old teacher I would  definitely  subscribe but that time in my life has past.  I'm sorry for any problems I have caused you."
Aug-24,US Grade 8,Price,I wanted to cancel 10x more after your website asked me 4 times if I really wanted to cancel or not. Terrible.
Aug-24,US Grade 6,Customer Service,"The worst experience EVER from any paid online service, EVER. Not a single person has called me back after me leaving numerous voicemails and sending numerous emails. You must be doing pretty well if you don't care about single customers. "
Aug-24,US Grade 3,Price,The first year I paid $48 and the renewal price is almost double. I don't feel I use it enough to justify almost $100.
Aug-24,US Grade 4,Resource Quality,I feel like the price has significantly increased over the years (which may be for good reason) but I can't justify a nearly $90 spend.
Sep-24,US Grade 7,Variety of Materials,"i was looking for various subject in math science and english i flound some but also did not find alot on my subject matter needed 
 thank you nice site but not what i needed at this time cheers"
Sep-24,ks4,Variety of Materials,Just enough cultural/linguistic differences between American and Australian language in the business math worksheets - my students wouldn't understand some of the language and references used in the worksheets and I can't edit them to make changes.
Sep-24,sen,Variety of Materials,I wish I could order bulletin board and those kind of resources. Its a real pain having to print then laminate. Not enough time or paper.
Sep-24,slt,Variety of Materials,I used the trial to make a recommendation to others that I supervise. Very pleased and will recommend.
Sep-24,US Grade 2,Variety of Materials,My school uses another site and has a lot of resources o I won't use it as much as I originally thought I would.
Sep-24,esl,Variety of Materials,I am strictly looking for materials for my Newcomer EL students. Most of the materials I find are too advanced or were not designed for ELs.
Sep-24,esl,Variety of Materials,I am an online teacher and I just need more materials. I also find the price to be a little expensive. I will consider subscribing again in the future.
Sep-24,ey,Variety of Materials,"I have been teaching private lessons and using Twinkl's resources has helped me a lot during the past months. Yet, I'm currently on a break with some students that intend to return only in the next year, so I will probably not need to plan classes for the next 6 months or so."
Sep-24,US Grade 2,Variety of Materials,"I cancelled my subscription before the trial period ended; however, I was charged for the next month. Please research this. Thank you."
Sep-24,US Kindergarten,Variety of Materials,"When I signed up for the one month free membership, I received a message saying I would be notified before the month was up and before I was charged. I was not notified before that happened."
Sep-24,US Grade 2,Variety of Materials,"IXL, because I teach online now and many of the Twinkl resources are better for printing and I had to put a lot of time int fixing the activities to be digital friendly."
Sep-24,sen,Variety of Materials,"It was great using it. I used it for ""Eid-Ul-Adha"" presentation for my office only. I do not need it. However, I liked it a lot. I would love to get the free version for my son. As he is getting a lot of worksheets at school. I am not in serious need of this now."
Sep-24,US Grade 1,Variety of Materials,resources are great for my homeschool child but currently not using it enough to justify the monthly cost. May start again when ready
Sep-24,US Kindergarten,Variety of Materials,I LOVE THIS WEBSITE! I’ve been able to teach many children through using this website. But unfortunately I can not afford to have subscriptions of any kind right now. Only able to pay for necessities
Sep-24,US Grade 1,Variety of Materials,"I've currently experienced a change in districts, grade level and pay. Trying to find balance in everything. You guys have been a great resource!"
Sep-24,US Grade 2,Variety of Materials,I'm not teaching this whole year - I've recommended you to other teachers and hope they utilize your wonderful resources. I'll be back next year ;)
Sep-24,US Grade 3,Variety of Materials,I used this over the summer for my child. I do not need the resources right now because he is in school.
Sep-24,home ed,Customer Service,"It is shady to hide the option to Self service and cancel a free trial then ignore emails and live chat, not answer thr phone then attempt to charge my card then not even acknowledge it. Very unprofessional and shady to also not send notice of the account removal"
Sep-24,US Grade 5,Ease of Website,It is really annoying that you cannot see the worksheets clearly before downloading them. I also found most of the science worksheets lacking.
Sep-24,US Kindergarten,Ease of Website,"With the competition around, the membership is too pricey. Also, given there are so much material, navigation to a particular grade, topic is not great."
Sep-24,parent,Ease of Website,I am not currently working but I am homeschooling my child creating her work and using free sites like DK12 I can't afford to add any other bills. I do enjoy this site.
Sep-24,ks3,Ease of Website,You make canceling obtuse. This is the second time I am attempting to cancel and still don't know it if is canceled. That is bad business practice. If my card is charged I will complain and have my bank reverse the charge.
Sep-24,US Grade 5,Ease of Website,Not everything would download. The material is all amazing. That wasn't a problem but it wouldn't save to my Google drive or as a PDF.
Sep-24,US Grade 3,Ease of Website,"Just needed it for one thing. The wedsite is fine. I only wanted one thing, then to cancel my subscription. I don't need this stuff"
Sep-24,US Grade 7,Ease of Website,"My school has blocked my ability to download any resources, so I can't use any of the printouts you have even though they would be very helpful."
Sep-24,US Kindergarten,Variety of Materials,"I have not used this resource, and do not plan to use it in the future, but I think it is great for teachers!"
Sep-24,adult educator,Variety of Materials,I work for an agency that supports autistic kids and their caregivers. I don't feel comfortable sharing your activities or encouraging their caregivers to join. I have adapted some of your activities that I think they need. You help with time and getting great resources in their hands but I can not continue paying for that resource.
Sep-24,ks5,Variety of Materials,"The free trial was great, but I can't currently afford another subscription. Thank you for providing quality downloads for my classroom."
Sep-24,US Grade 5,Variety of Materials,Just trying to limit my subscriptions for a few months. I'll probably come back later in the year. Thank you!
Sep-24,US Grade 4,Price,"I like the site, I just get what I need and then may not need it for a while. I have a number of other homeschool resources I'm using and need to keep my costs down. Thank you!"
Sep-24,US Grade 3,Resource Quality,"When I click to download resources, it will only download as a zip file instead of a downloadable document."
Sep-24,US Grade 1,Resource Quality,The materials didn't feel full of grace... some were good but some were a little cringy and confusing for my students!
Sep-24,slt,Resource Quality,"I had thought that I could set the limits of the random number generator to where I would like it to stop at, not just 0 - 1000"
Sep-24,US Grade 5,Resource Quality,I could download the pages but they would never open up so I could print. Always said unable to open . Was a waste of time.
Sep-24,adult educator,Resource Quality,"While this is a great resource, I was introduced to a program my school already had in place that will provide me the material I need. I was just unaware that my school had this program. Thank you for the trial, and keep up the great work!!"
Sep-24,US Pre K,Resource Quality,"Many of the resources required to resize in an editor or if printed directly from the site, were cut off at the bottom of the page. Some didn't print in full. It was rather frustrating to get things to print correctly."
Sep-24,sen,Resource Quality,"When I planned to buy an annual membership for this school year last year, it was about $15 cheaper."
Sep-24,US Grade 2,Resource Quality,This is a wonderful resource and I will tell others about it. You are very transparent about membership and kind to note when trial is expiring.
Sep-24,sen,Variety of Materials,"Lessons on using a computer, internet for Special Education students. Lessons that have presentations, worksheets, and interactive lessons."
Sep-24,ks5,Variety of Materials,I need computer science material but twinkl only has a few things. I saw some math stuff that could be applied but not enough to justify a membership
Sep-24,US Grade 2,Variety of Materials,I’m not a teacher just a parent looking for extra resources. Most of the files are available for free online
Sep-24,US Grade 4,Variety of Materials,I was looking for resources for 4th & 5th grade Jewish students but there isn't enough to warrant the membership. Thanks anyway.
Sep-24,US Kindergarten,Variety of Materials,Resources for Spanish Inmersion Programs in the US not only Hispanic Month. I nee all materials in Spanish.
Sep-24,US Grade 3,Variety of Materials,I have no complaints but didn’t use anything on the website in the 30 day trial period. I’m sure everything is wonderful!
Sep-24,ey,Variety of Materials,The Shia resources I was looking at were not satisfactory. It was not written or done by Shia sources.
Sep-24,US Grade 6,Variety of Materials,"I am not using this membership at all. I didn't realize that the free trial had ended and that I was being charged. I would like a refund for the last two payments, please. Thank you!"
Sep-24,ey,Price,I think for teachers who really put their all into their work and buy supplies with their own money shouldn't have to pay too much for something like this. It's a great site but too expensive for membership.
Sep-24,US Grade 1,Price,I can’t remember but there has been several times I have specifically looked for items that just do not populate. I found a different site that offers material along state standards and is slightly cheaper than twinkle.
Sep-24,ey,Price,I cannot afford this monthly fee at this moment. I hope to see return! Keep up the good work Twinkl and Team are doing!
Sep-24,US Grade 3,Resource Quality,There were often issues with having the correct printing format or downloads being too large to view.
Sep-24,US Grade 3,Variety of Materials,I teach in a PRTF and unfortunately do not currently have any students in my classroom until possibly January.
Sep-24,US Grade 3,Price,I feel I need more material for 3-5 and when I click those grade levels on many topics there is nothing.
Sep-24,US Grade 3,Resource Quality,"i created an account w a membership to get answers for ONE worksheet, cancelled the subscription, but yall made it so fucking difficult that apparently ive been paying $9.00 a month FOR MONTHS NOW. so fuck yall and all of yalls moms"
Sep-24,US Grade 4,Resource Quality,I am working with ages 18-22 now and there are not a lot of resources for that group of students with special needs.
Sep-24,US Grade 5,Resource Quality,More rigorous resources for gifted learners. The ones available are not challenging enough for the students I work with.
Sep-24,US Grade 5,Resource Quality,I purchased it for my daughter during the summer months but now she is back in school and is not in need of resources. Thank you for your great resources and activities!!
Sep-24,US Grade 4,Resource Quality,This is a great place to find worksheets and resources for teaching. Unfortunately I am no longer using the site.
Sep-24,US Grade 6,Variety of Materials,"Science Worksheets, specifically about wind altitude, density, air pressure. Most of what I see are just projects, not worksheets."
Sep-24,sen,Variety of Materials,Resources are really geared for elementary teachers -- did not find enough resources geared for Special Education High school students to justify the price of the subscription
Sep-24,US Grade 6,Variety of Materials,"I was charged today without my knowledge. Please cancel my subscription and refund the amount. 
 Thanks."
Sep-24,US Grade 4,Customer Service,I did not sign up for the Ultimate Subscription and was charged anyway. I have been on hold with Customer Service for an hour. I will be calling my credit card company to block any further charges. Please cancel my account and refund charges!
Sep-24,US Kindergarten,Customer Service,Hope have some story come with or reading come with . And hope pictures could be more cute and beautiful
Sep-24,US Grade 6,Customer Service,Thais subscription is a scam stealing money from hard working educators. You should be ashamed of the way you run your business.
Sep-24,US Grade 2,Customer Service,I have not logged in all year. I didn't even realize I was being charged. I would like to get a refund please.
Sep-24,ey,Customer Service,"It's really unfortunate how difficult it is to cancel this service. You are taking advantage of teachers who have little time and resources by making us jump through hoops to cancel. This really sours my opinion of your website, which I enjoyed using in general but I need to cancel because as a teacher, I do not have unlimited resources to keep paying for subscriptions that trap you. That is all. Goodbye."
Sep-24,Other,Customer Service,I have been trying to cancel this member ship for three months. Nobody ever picks up when I call and emails were not answered. I used this site once for a flyer and you have charged me for 3 months.
Sep-24,US Grade 2,Customer Service,"The membership was activated by mistake, and I found it difficult to navigate the cancellation process. I am frustrated and unsatisfied."
Sep-24,US Grade 3,Customer Service,"I did not subscribe to a monthly paid subscription, the username is wrong, and I never entered a card. Charges have come out of my account with a fake card number I don't have. I am reporting Twinkl for fraud and scamming educators who sacrifice so much to help others. Shame on you."
Sep-24,US Grade 7,Customer Service,"I’ve requested my service to be cancelled several time, but I keep getting billed through PayPal. If this does not work, I plan on reporting this to PayPal and possibly taking legal action to get past monthly fees back. All future reviews or ratings I give for twinkl - as well as word of mouth comments to other teachers - will be negative, especially with all the screens I had to repeatedly go through to get here. VERY dissatisfied."
Sep-24,US Grade 7,Customer Service,"You HAVE to make it easier to unsubscribe!! I have been trying for six months, and even though I supposedly am unsubscribed, you keep taking money out of my account. Or should I say stealing? I would like a refund of all of the bank withdrawals you have made."
Sep-24,sen,Ease of Website,I did not even know I had reactivated my memberbship and it was really hard figuring out how to cancel.
Sep-24,esl,Ease of Website,I thought I wasn't going to get drafted because it was very difficult to cancel and see how I was going to pay for it. I'd like a refund.
Sep-24,US Grade 5,Ease of Website,"I stopped using Twinkl a long time ago and forgot about it. I had no problem with your service, I just despise subscriptions so I'll never be anything but disappointed."
Sep-24,sen,Ease of Website,I have paid for the next month so I better have full access until October 14th . This is not clear. I should have access and then is unclear. Your website is very abnoxious to canel - therefore I will never join you again;.
Sep-24,adult educator,Ease of Website,"Resources are great for elementary school, some for middle school, but they are too easy for high school. This site is more useful for elementary education."
Sep-24,US Kindergarten,Ease of Website,"I couldn't find any graphics for hand signals for going to restroom, getting a tissue, needing a pencil, etcetera. That was the main thing I joined to find."
Sep-24,sen,Price,This account was signed in through my old schools email address. I never received any emails and was unaware I had this membership still. Was not impressed being charged and I would like my money back. I have not used this program in over a year and I will not be using it.
Sep-24,US Grade 5,Price,Please refund my subscription of $89.88 usd. I haven't used this service for over a year and don't plan to utilize it now and in the future.
Sep-24,US Grade 3,Price,I didn't realize my free trial ended and paid over $100 without knowing it... other than that it's been great.
Sep-24,adult educator,Price,You all should really consider sending people reminder emails when the subscription is going to renew!
Sep-24,US Grade 6,Price,I did a free trial and forgot that I subscribed until over the summer when the payment kept getting declined for lack of funds. I don’t use the resources very often so I can’t justify the money continuing to come out of my account.
Sep-24,US Grade 8,Price,"I enjoy the resources but money is very tight. If you could refund my recent payment, I'd appreciate it. Thank you"
Sep-24,US Kindergarten,Ease of Website,"It's really difficult to navigate and find what i need. Searching brings up a slew on things, some related some not. Going to second or sub sections still feels like it's a jumble. Honestly, the most effective way i found was to Google specific resources i needed, and click a direct link to it on here vs trying to find it solely using this site."
Sep-24,US Grade 1,Ease of Website,The price of the unlimited membership has gone up $40 in two years and the resources are exactly the same. I can afford this but I refuse this type of price gouging. See ya.
Sep-24,US Grade 6,Price,"I thought once you bought a membership you had access to resources forever, that's why I bought it the first time instead of going with competitors."
Sep-24,US Grade 3,Resource Quality,"Your material is fantastic. I am not teaching these grade levels anymore (because we lost the grant for our elementary after-school program) and don't need the product.
 If we get the grant again, I'll be back!"
Oct-24,US Pre K,Price,Don’t make it impossible to cancel membership shame on you for trying to scalp money out of already low paid teachers
Oct-24,US Pre K,Variety of Materials,"Just been hit with extra expenses due to Hurricane Helene (lost all food, damaged electronics, now black mold has shown up) and can’t afford to renew."
Oct-24,US Grade 8,Resource Quality,"I needed AI to create lesson plans that have a specified format and that's not a choice. It also have a very poorly written lesson plan that could have taken me the same amount of time it took to fill out the ai form. If you are interested in a teacher to help make the ai work better, feel free to email. Because that's not what most of us need."
Oct-24,Other,Resource Quality,I need colorful handout that I can print out with basic facts about the holiday. I am using these at university events for outreach.
Oct-24,US Grade 7,Resource Quality,You had an activity for Donald Trump and not one for Kamala Harris. Donald Trump has 34 felons. He does not need to be celebrated. This is why I am cancelling. You probably think that Donald trump is a good human and he is not.
Oct-24,US Grade 1,Resource Quality,"Keep doing what you're doing. I love all the resource materials. It is very helpful to a stressful job, like teaching."
Oct-24,Other,Variety of Materials,I was looking for anatomy when I did find something close to what I needed I wasn’t able to download or print it… couldn’t find file not even in spam
Oct-24,home ed,Variety of Materials,"history related: Ottoman Empire, New Zealand Waitangi Treatment, Napoleon, Shaka Zulu, Captain Cook/Tahiti, ..."
Oct-24,home ed,Variety of Materials,"I had originally wanted to purchase something outright, but it wasn't available to buy ""a la carte"" so had to sign-up for a membership."
Oct-24,US Grade 8,Variety of Materials,Make it easier to find out how to cancel membership. I had to google the process because there wasn't an obvious link on the membership screen.
Oct-24,parent,Variety of Materials,I am homeschooling and having health issues. If it were free I would absolutely stay. I really enjoy the content. It's very helpful. Thank you.
Oct-24,US Pre K,Variety of Materials,I don't use it as often as I thought I would. In the future I will when my children become old enough to use the material I got
Oct-24,ey,Variety of Materials,"The site is great and the resources are amazing! Unfortunately, I just can't afford any additional bills at the moment. Keep up the great work and hopefully I'll be able to join again soon! Thank you!"
Oct-24,US Grade 6,Variety of Materials,Please refund $89.88. I know my membership was renewed October 8 but I truly can'y afford it right now. I have student loans ($414 monthly payment and I pay $800 a month for childcare). Please refund payment and cancel my membership please.
Oct-24,US Grade 1,Variety of Materials,"My school subscribed with the email address primaryb@nextgenerationschool.com. I did not know my subscription was reoccurring so would very much appreciate a refund. It was because of me, my school heard of twinkl and set up a school account. Thank you for your support."
Oct-24,US Grade 3,Variety of Materials,"My district is requiring a pre-approval on all school subscriptions, so I will renew once I have acquired the approval from the district office."
Oct-24,US Grade 8,Ease of Website,"You advertise UNLIMITED downloads but when I downloaded what was deemed to be too much a 24 hold was put on my account. That is not my definition of unlimited. My definition is how much I want, when I want. If it is limited to x number of downloads in y amount of time, it should be advertised that way, not as unlimited."
Oct-24,parent,Price,"The price is an issue right now because I've only used this application once or twice. 
 Other than that I've fully enjoyed the amount of material offered and when things settle down a bit I'll probably renew my subscription"
Oct-24,US Grade 8,Customer Service,I would like to request a refund from my charge on 10.29. I did not authorize that. I cancelled my membership in Sept and did not authorize this new membership!!
Oct-24,ey,Customer Service,"I have tried multiple times to cancel and I kept getting charged over and over again! That is astronomical, the amount of money i’ve wasted because yall keep charging me is crazy! I’m contacting my bank to be refunded"
Oct-24,US Grade 3,Customer Service,I tried to cancel the membership I wasn’t aware I had and someone on the phone told me they would cancel it and refund me but I was charged 8 more months
Oct-24,ks3,Customer Service,I canceled my subscription already and you charged me again for annual membership. I am reporting this as fraud
Oct-24,US Grade 2,Ease of Website,You should give notifications for when taking money out i was using it as a one time thing and now I'm in debt because it just took money out of my account.
Oct-24,ey,Price,"I was billed *89 $ for a second year, though i thought I had cancelled a year ago.The first time i knew I was still subscribed was when i
 I saw the bill for a follow on year. ideally you will refund the charge from 10/22/2024."
Oct-24,sen,Price,I had cancelled this subscription over a year ago and was charged again for it. I am very unhappy with this.
